x,y,z,theta_init
-146.908,21.295,99.921,43.758
-150.698,11.352,100.207,44.407
-151.45,2.234,100.249,45.001
-151.2,-6.789,100.285,45.54
-148.54,-16.75,100.199,46.429
-140.043,-28.987,99.771,47.14
-123.771,-43.859,99.684,47.414
-102.228,-59.451,99.631,47.543
-79.244,-73.224,99.129,47.776
-57.614,-83.592,98.859,48.242
-38.681,-90.482,98.69,48.897
-23.291,-94.151,98.524,49.592
-10.889,-95.463,98.394,50.097
0.0,-95.652,98.349,50.23
10.889,-95.463,98.392,50.026
23.291,-94.152,98.52,49.447
38.682,-90.483,98.684,48.712
57.615,-83.593,98.853,48.052
79.244,-73.224,99.122,47.591
102.229,-59.452,99.622,47.357
123.771,-43.859,99.674,47.215
140.044,-28.987,99.759,46.925
148.541,-16.75,100.185,46.213
151.201,-6.789,100.271,45.335
151.451,2.234,100.236,44.812
150.699,11.353,100.195,44.245
146.908,21.295,99.913,43.633
137.618,32.647,99.449,43.298
122.756,45.083,99.173,43.275
104.422,57.544,99.126,43.302
84.698,69.036,98.9,43.197
64.637,78.939,98.663,42.887
44.828,86.839,98.463,42.383
25.837,92.363,98.243,41.715
8.203,95.162,98.006,40.943
0.0,98.76,98.515,44.166
-17.465,97.297,98.648,44.824
-36.507,92.905,98.819,45.398
-56.661,85.894,98.979,45.809
-77.384,76.648,99.131,46.031
-98.115,65.571,99.361,46.051
-118.157,53.129,99.495,45.872
-135.839,40.163,99.648,45.572
-148.789,27.776,100.053,45.272
-155.519,16.785,100.529,45.179
-157.633,6.978,100.673,45.336
-157.81,-2.32,100.695,45.604
-156.65,-12.011,100.657,45.912
-151.147,-23.372,100.255,46.058
-138.007,-37.489,99.763,45.917
-117.689,-53.519,99.906,45.643
-93.981,-68.932,99.494,45.404
-70.591,-81.429,99.113,45.369
-49.465,-90.348,98.977,45.621
-31.664,-95.796,98.85,46.055
-17.435,-98.265,98.739,46.496
-5.55,-98.911,98.675,46.758
5.55,-98.911,98.674,46.742
17.435,-98.265,98.738,46.455
31.664,-95.796,98.848,46.014
49.465,-90.348,98.976,45.604
70.591,-81.429,99.113,45.379
93.981,-68.932,99.495,45.427
117.689,-53.519,99.906,45.652
138.007,-37.489,99.762,45.898
151.147,-23.372,100.252,46.011
156.65,-12.011,100.653,45.852
157.81,-2.32,100.691,45.546
157.633,6.978,100.669,45.289
155.519,16.785,100.527,45.15
148.789,27.776,100.052,45.258
135.839,40.163,99.648,45.57
118.157,53.129,99.496,45.876
98.115,65.571,99.361,46.056
77.384,76.648,99.131,46.031
56.661,85.894,98.979,45.8
36.507,92.905,98.818,45.377
17.465,97.297,98.647,44.795
-8.868,101.872,98.782,47.556
-27.841,98.772,98.895,48.033
-48.214,92.785,99.009,48.361
-69.454,84.31,99.127,48.524
-91.014,73.757,99.25,48.508
-112.333,61.559,99.456,48.307
-132.304,48.318,99.549,47.901
-148.675,35.096,99.866,47.312
-159.08,22.951,100.398,46.571
-163.451,12.223,100.738,46.044
-164.38,2.395,100.797,45.923
-164.073,-7.308,100.779,45.976
-160.979,-18.088,100.491,45.622
-151.408,-31.211,99.879,44.958
-133.445,-47.054,99.709,44.288
-109.922,-63.604,99.544,43.696
-85.038,-78.173,99.051,43.233
-61.828,-89.243,98.908,43.052
-41.568,-96.686,98.809,43.143
-25.066,-100.714,98.723,43.372
-11.722,-102.197,98.661,43.614
0.0,-102.429,98.645,43.706
11.722,-102.197,98.661,43.619
25.066,-100.714,98.725,43.419
41.568,-96.687,98.814,43.25
61.829,-89.243,98.915,43.217
85.038,-78.174,99.061,43.433
109.923,-63.605,99.555,43.898
133.445,-47.055,99.719,44.462
151.409,-31.212,99.887,45.091
160.98,-18.088,100.498,45.718
164.073,-7.308,100.784,46.05
164.381,2.395,100.802,45.997
163.451,12.223,100.743,46.12
159.08,22.951,100.403,46.644
148.675,35.096,99.87,47.38
132.305,48.318,99.553,47.971
112.333,61.559,99.459,48.38
91.014,73.757,99.253,48.581
69.454,84.311,99.129,48.588
48.214,92.786,99.011,48.408
27.841,98.772,98.896,48.057
8.868,101.872,98.782,47.553
0.0,106.013,98.643,49.975
-18.864,104.366,98.691,50.365
-39.337,99.562,98.755,50.609
-60.968,91.993,98.833,50.715
-83.219,82.084,98.928,50.677
-105.546,70.265,99.042,50.487
-127.26,57.02,99.182,50.117
-146.571,43.211,99.406,49.489
-160.871,29.975,99.859,48.502
-168.448,18.13,100.394,47.293
-170.912,7.513,100.57,46.503
-171.138,-2.494,100.577,46.371
-169.76,-12.983,100.405,45.794
-163.514,-25.245,99.807,44.629
-148.941,-40.329,99.191,43.428
-126.725,-57.421,99.205,42.52
-100.98,-73.769,98.747,41.751
-75.796,-87.085,98.511,41.173
-53.153,-96.672,98.418,40.891
-34.073,-102.595,98.35,40.831
-18.779,-105.329,98.3,40.903
-5.975,-106.074,98.277,41.016
5.975,-106.074,98.277,41.028
18.779,-105.33,98.303,40.983
34.073,-102.597,98.359,41.013
53.154,-96.674,98.431,41.166
75.798,-87.088,98.527,41.513
100.982,-73.772,98.767,42.118
126.727,-57.423,99.227,42.872
148.943,-40.331,99.209,43.739
163.515,-25.247,99.824,44.89
169.762,-12.983,100.421,46.009
171.139,-2.494,100.592,46.562
170.913,7.513,100.585,46.689
