x,y,z,theta_init
71.01,137.539,24.548,78.858
41.275,146.406,24.578,79.554
13.277,151.145,24.591,80.166
0.0,148.572,18.106,78.29
-26.452,146.182,18.103,77.537
-54.771,139.432,18.085,76.646
-84.478,128.966,18.041,75.957
-114.938,115.383,17.973,75.483
-145.486,99.266,17.884,75.155
-175.266,81.237,17.767,74.792
-201.961,62.337,17.562,73.667
-222.124,43.803,17.159,70.367
-233.186,26.328,16.741,63.561
-236.665,10.552,16.815,57.478
-236.914,-3.458,16.905,55.813
-234.534,-18.667,17.285,50.51
-224.828,-36.191,18.246,42.29
-204.031,-56.75,18.986,36.422
-173.25,-79.688,19.335,33.07
-137.958,-101.671,19.582,30.157
-103.538,-119.536,19.809,27.188
-72.636,-132.38,20.003,24.46
-46.57,-140.305,20.165,22.107
-25.631,-143.959,20.275,20.606
-8.129,-144.978,20.309,20.288
8.129,-144.994,20.299,20.454
25.64,-144.036,20.229,21.423
46.605,-140.445,20.079,23.617
72.699,-132.548,19.893,26.382
103.619,-119.707,19.691,29.264
138.05,-101.829,19.465,32.223
173.345,-79.827,19.223,35.03
204.129,-56.865,18.878,38.256
224.93,-36.268,18.141,44.002
234.631,-18.694,17.191,52.102
236.997,-3.459,16.825,57.317
236.742,10.559,16.741,58.932
233.239,26.35,16.689,64.874
222.15,43.826,17.132,71.45
201.976,62.357,17.545,74.601
175.278,81.257,17.752,75.704
145.497,99.286,17.869,76.099
114.948,115.404,17.959,76.439
84.486,128.986,18.028,76.875
54.776,139.449,18.074,77.445
26.453,146.192,18.097,78.069
-12.666,144.135,11.608,76.325
-39.352,139.599,11.601,75.532
-67.676,131.138,11.567,74.8
-97.042,119.357,11.504,74.248
-126.818,104.829,11.414,73.846
-156.337,88.121,11.3,73.523
-184.229,69.986,11.127,72.86
-207.467,51.634,10.798,70.961
-222.811,34.014,10.234,65.942
-229.448,17.724,10.026,59.388
-230.752,3.334,10.198,55.703
-230.153,-10.48,10.327,53.695
-224.852,-26.473,11.137,46.643
-210.275,-44.919,12.214,39.593
-184.622,-66.426,12.78,35.591
-151.729,-88.75,13.092,32.808
-117.279,-108.431,13.351,30.105
-85.309,-123.401,13.576,27.531
-57.431,-133.52,13.762,25.275
-34.638,-139.03,13.909,23.505
-16.156,-141.097,13.985,22.74
0.0,-141.449,13.995,22.737
16.158,-141.134,13.96,23.124
34.655,-139.125,13.842,24.524
57.474,-133.657,13.661,26.814
85.373,-123.552,13.458,29.337
117.358,-108.58,13.228,31.995
151.815,-88.885,12.971,34.659
184.71,-66.543,12.663,37.345
210.367,-45.009,12.1,41.237
224.946,-26.521,11.029,48.171
230.235,-10.489,10.235,55.111
230.828,3.335,10.113,57.069
229.511,17.738,9.956,60.662
222.847,34.038,10.192,67.026
207.486,51.654,10.774,71.839
184.242,70.004,11.109,73.667
156.349,88.14,11.283,74.343
126.829,104.849,11.398,74.692
97.051,119.377,11.488,75.084
67.683,131.156,11.554,75.568
39.356,139.613,11.591,76.134
12.667,144.141,11.604,76.59
0.0,140.249,5.155,75.008
-24.973,137.987,5.156,74.438
-51.689,131.611,5.137,73.721
-79.703,121.735,5.085,73.117
-108.422,108.923,5.0,72.653
-137.224,93.726,4.886,72.283
-165.307,76.729,4.735,71.856
-190.489,58.905,4.47,70.723
-209.522,41.405,3.953,67.651
-219.983,24.882,3.407,61.667
-223.296,9.963,3.469,56.476
-223.539,-3.263,3.573,55.055
-221.314,-17.656,4.021,50.535
-212.164,-34.277,5.203,43.398
-192.528,-53.726,6.138,38.163
-163.489,-75.38,6.575,35.227
-130.211,-96.134,6.871,32.775
-97.76,-113.021,7.13,30.351
-68.62,-125.184,7.341,28.196
-44.016,-132.716,7.513,26.383
-24.219,-136.201,7.632,25.235
-7.671,-137.17,7.674,24.976
7.671,-137.181,7.665,25.092
24.225,-136.256,7.589,25.83
44.041,-132.817,7.429,27.523
68.667,-125.311,7.231,29.699
97.824,-113.154,7.008,32.025
130.285,-96.261,6.746,34.486
163.567,-75.494,6.452,36.882
192.609,-53.821,6.019,39.731
212.249,-34.342,5.086,44.865
221.395,-17.679,3.915,51.887
223.61,-3.265,3.482,56.321
223.361,9.969,3.385,57.696
220.029,24.901,3.346,62.749
209.546,41.426,3.919,68.521
190.504,58.923,4.448,71.465
165.318,76.748,4.715,72.58
137.235,93.745,4.867,73.032
108.432,108.943,4.982,73.411
79.711,121.753,5.068,73.842
51.694,131.627,5.124,74.344
24.974,137.997,5.148,74.845
-11.832,134.59,-1.187,73.272
-36.746,130.35,-1.191,72.647
-63.179,122.45,-1.228,72.028
-90.579,111.453,-1.303,71.518
-118.36,97.896,-1.412,71.104
-145.903,82.307,-1.553,70.736
-171.932,65.385,-1.768,70.042
-193.625,48.253,-2.175,68.229
-207.959,31.789,-2.871,63.724
-214.182,16.56,-3.159,58.091
-215.42,3.112,-2.977,54.967
-214.872,-9.794,-2.836,53.263
-209.954,-24.785,-1.902,47.251
-196.35,-42.08,-0.616,41.084
-172.4,-62.191,0.069,37.559
-141.704,-83.048,0.436,35.194
-109.562,-101.448,0.727,32.976
-79.731,-115.462,0.968,30.924
-53.704,-124.956,1.159,29.172
-32.396,-130.143,1.311,27.812
-15.098,-132.091,1.395,27.216
0.0,-132.418,1.41,27.201
15.099,-132.116,1.373,27.493
32.407,-130.209,1.251,28.573
53.735,-125.054,1.064,30.356
79.778,-115.574,0.854,32.351
109.621,-101.562,0.605,34.508
141.771,-83.154,0.312,36.728
172.471,-62.284,-0.052,39.034
196.425,-42.153,-0.735,42.48
210.03,-24.824,-2.017,48.546
214.94,-9.802,-2.936,54.453
215.483,3.113,-3.069,56.112
214.235,16.572,-3.236,59.152
207.99,31.809,-2.92,64.611
193.642,48.272,-2.203,68.94
171.945,65.403,-1.79,70.695
145.914,82.325,-1.574,71.399
118.37,97.915,-1.432,71.787
90.588,111.472,-1.322,72.191
63.185,122.467,-1.245,72.642
36.749,130.364,-1.203,73.123
11.832,134.596,-1.192,73.479
0.0,130.514,-2.336,72.72
-23.142,127.951,-2.977,72.106
-48.146,122.323,-3.32,71.495
-74.91,114.099,-3.389,71.084
-102.093,102.285,-3.757,70.631
-129.348,88.112,-4.064,70.245
-155.827,72.027,-4.155,69.791
-178.321,54.284,-3.977,68.535
-195.623,37.574,-3.561,65.653
-205.178,22.648,-3.955,60.301
-208.238,9.206,-3.996,55.774
-208.917,-3.037,-2.7,54.568
-206.606,-16.125,-3.592,50.615
-198.472,-31.322,-2.79,44.329
-180.825,-50.118,-3.08,39.601
-154.573,-71.442,-2.929,36.878
-123.078,-91.036,-2.544,34.752
-92.265,-106.692,-1.921,32.694
-64.63,-117.853,-1.356,30.903
-41.132,-124.059,-1.357,29.611
-22.652,-127.359,-1.297,28.684
-7.222,-128.533,-0.451,28.253
7.222,-128.536,-0.455,28.341
22.655,-127.383,-1.32,29.149
41.143,-124.105,-1.402,30.523
64.658,-117.93,-1.434,32.146
92.311,-106.788,-2.025,34.103
123.139,-91.141,-2.667,36.216
154.64,-71.539,-3.053,38.316
180.88,-50.182,-3.174,40.962
198.515,-31.354,-2.858,45.606
206.648,-16.137,-3.656,51.789
208.948,-3.037,-2.748,55.673
208.272,9.209,-4.049,56.828
205.203,22.658,-3.994,61.229
195.637,37.586,-3.583,66.394
178.331,54.297,-3.995,69.166
155.837,72.042,-4.175,70.412
129.358,88.129,-4.083,70.888
102.101,102.301,-3.775,71.28
74.915,114.114,-3.405,71.702
48.149,122.334,-3.331,72.016
23.143,127.957,-2.983,72.444
